Measurement file: 	20240823_SiO2NPs_2024_ILUM (1)
Record no: 	 79
Sample name: 	SiO2NPs_5ml_agua 2


Times (us)	ACF Data
 .5	 .882904231548309
 1	 .889269530773163
 1.5	 .888840675354004
 2	 .888382613658905
 2.5	 .879945635795593
 3	 .879521429538727
 3.5	 .875253260135651
 4	 .872981369495392
 4.5	 .869428336620331
 5.5	 .864991247653961
 6.5	 .857889175415039
 7.5	 .852887749671936
 8.5	 .84812992811203
 9.5	 .842872858047485
 10.5	 .838380336761475
 11.5	 .830456078052521
 12.5	 .825724422931671
 14.5	 .813407897949219
 16.5	 .803973138332367
 18.5	 .79308009147644
 20.5	 .782747089862823
 22.5	 .772560179233551
 24.5	 .763300776481628
 26.5	 .754029035568237
 28.5	 .744177222251892
 32.5	 .724711835384369
 36.5	 .706385493278503
 40.5	 .68843400478363
 44.5	 .671663165092468
 48.5	 .654547035694122
 52.5	 .637224137783051
 56.5	 .621097564697266
 60.5	 .605733275413513
 68.5	 .575693905353546
 76.5	 .548046112060547
 84.5	 .520751416683197
 92.5	 .495859056711197
 100.5	 .471499890089035
 108.5	 .449432283639908
 116.5	 .427771687507629
 124.5	 .407559305429459
 140.5	 .36982062458992
 156.5	 .335826814174652
 172.5	 .305283814668655
 188.5	 .277637302875519
 204.5	 .252810567617416
 220.5	 .230701640248299
 236.5	 .210198327898979
 252.5	 .192088022828102
 284.5	 .160233050584793
 316.5	 .134778499603271
 348.5	 .113406874239445
 380.5	 9.64106842875481E-02
 412.5	 8.18785354495049E-02
 444.5	 7.01024979352951E-02
 476.5	 5.99550008773804E-02
 508.5	 5.18196113407612E-02
 572.5	 3.91809716820717E-02
 636.5	 2.93760858476162E-02
 700.5	 2.29338891804218E-02
 764.5	 1.96389425545931E-02
 828.5	 1.72165017575026E-02
 892.5	 1.49525385349989E-02
 956.5	 1.32327973842621E-02
 1020.5	 1.17418076843023E-02
 1148.5	 7.84488022327423E-03
 1276.5	 7.02741555869579E-03
 1404.5	 6.85967598110437E-03
 1532.5	 6.45395368337631E-03
 1660.5	 7.41964392364025E-03
 1788.5	 7.88465887308121E-03
 1916.5	 7.77522148564458E-03
 2044.5	 5.82651421427727E-03
 2300.5	 4.11744182929397E-03
 2556.5	 3.28474887646735E-03
 2812.5	 4.05047927051783E-03
 3068.5	 4.56243706867099E-03
 3324.5	 2.34139920212328E-03
 3580.5	 2.30812397785485E-03
 3836.5	 2.26670154370368E-03
 4092.5	 4.58207097835839E-04
 4604.5	 4.14871610701084E-03
 5116.5	 2.46020313352346E-03
 5628.5	 0
 6140.5	 0
 6652.5	 1.66167819406837E-03
 7164.5	 3.43842222355306E-03
 7676.5	 4.00646822527051E-03
 8188.5	 4.92388196289539E-03
 9212.5	 3.43064614571631E-03
 10236.5	 4.99377818778157E-03
 11260.5	 4.20299172401428E-03
 12284.5	 2.46445368975401E-03
 13308.5	 1.64487690199167E-03
 14332.5	 2.4193690624088E-03
 15356.5	 1.88129476737231E-03
 16380.5	 1.41395244281739E-03
 18428.5	 2.9600472189486E-03
 20476.5	 2.09037284366786E-03
 22524.5	 3.21816839277744E-03
 24572.5	 1.03280472103506E-03
 26620.5	 1.64085743017495E-03
 28668.5	 1.93777913227677E-03
 30716.5	 1.58443755935878E-03
 32764.5	 1.07771018519998E-03
 36860.5	 9.24400810617954E-04
 40956.5	 2.37968936562538E-03
 45052.5	 3.72354732826352E-03
 49148.5	 1.81137816980481E-03
 53244.5	 2.25772708654404E-03
 57340.5	 1.12772767897695E-03
 61436.5	 1.40925520099699E-03
 65532.5	 1.33948656730354E-03
 73724.5	 1.02433594292961E-04
 81916.5	 1.22998829465359E-03
 90108.5	 2.65645881881937E-04
 98300.5	 1.59857721882872E-04
 106492.5	 5.00650960020721E-04
 114684.5	 8.4709154907614E-04
 122876.5	 .001250040368177
 131068.5	 9.73148853518069E-04
 147452.5	 0
 163836.5	 4.68819664092734E-04
 180220.5	 6.45251129753888E-05
 196604.5	 2.13698763218417E-06
 212988.5	 1.62838899996132E-04
 229372.5	 8.12805883469991E-05
 245756.5	 2.97419959679246E-04
 262140.5	 1.14944641609327E-05
 294908.5	 6.39967969618738E-04
 327676.5	 0
 360444.5	 4.55868401331827E-04
 393212.5	 6.77824136801064E-04
 425980.5	 6.34887896012515E-04
 458748.5	 9.07362729776651E-04
 491516.5	 7.01142766047269E-04
 524284.5	 5.40236127562821E-04
 589820.5	 0
 655356.5	 0
 720892.5	 3.08344227960333E-04
 786428.5	 0
 851964.5	 0
 917500.5	 0
 983036.5	 3.84621554985642E-04
 1048572.5	 6.85334904119372E-04
 1179644.5	 6.81649020407349E-04
 1310716.5	 4.82569710584357E-04
 1441788.5	 3.10283139697276E-05
 1572860.5	 9.02440573554486E-04
 1703932.5	 7.1029964601621E-04
 1835004.5	 0
 1966076.5	 3.68992099538445E-04
 2097148.5	 1.81361247086897E-04
 2359292.5	 0
 2621436.5	 7.75115273427218E-04
 2883580.5	 2.94641416985542E-04
 3145724.5	 1.01893395185471E-03
 3407868.5	 5.8455957332626E-04
 3670012.5	 9.17129509616643E-04
 3932156.5	 0
 4194300.5	 8.38031817693263E-04
 4718588.5	 2.65423557721078E-04
 5242876.5	 1.18140748236328E-03
 5767164.5	 6.84646016452461E-04
 6291452.5	 5.25239214766771E-04
 6815740.5	 2.71019780484494E-05
 7340028.5	 0
 7864316.5	 8.05670919362456E-04
 8388604.5	 8.94122786121443E-05
 9437180	 0
 10485756	 0
 11534332	 0
 12582908	 0
 13631484	 0
 14680060	 2.05492397071794E-04
 15728636	 0
 16777212	 0
 18874364	 0
 20971516	 0
 23068668	 0
 25165820	 0
 27262972	 0
 29360124	 0
 31457276	 0
 33554428	 0
 37748732	 0
 41943036	 0
 46137340	 0
 50331644	 0
 54525948	 0
 58720252	 0
 62914556	 0
