Measurement file: 	20240823_SiO2NPs_2024_ILUM (1)
Record no: 	 35
Sample name: 	SiO2NPs_7mL_EtOH_dilluted


Times (us)	ACF Data
 .5	 .88832414150238
 1	 .898437857627869
 1.5	 .896552383899689
 2	 .895840585231781
 2.5	 .893390536308289
 3	 .892004609107971
 3.5	 .891094446182251
 4	 .89047247171402
 4.5	 .887722074985504
 5.5	 .88692170381546
 6.5	 .884055316448212
 7.5	 .881463468074799
 8.5	 .878869831562042
 9.5	 .877610981464386
 10.5	 .874094247817993
 11.5	 .872091293334961
 12.5	 .869646966457367
 14.5	 .864037692546844
 16.5	 .859998345375061
 18.5	 .854885816574097
 20.5	 .850299298763275
 22.5	 .845681011676788
 24.5	 .84104710817337
 26.5	 .836522817611694
 28.5	 .831448137760162
 32.5	 .822795152664185
 36.5	 .813233494758606
 40.5	 .804891049861908
 44.5	 .795279383659363
 48.5	 .787062644958496
 52.5	 .777785539627075
 56.5	 .769325613975525
 60.5	 .760977625846863
 68.5	 .744109630584717
 76.5	 .728292107582092
 84.5	 .712208688259125
 92.5	 .696607351303101
 100.5	 .681753516197205
 108.5	 .666574776172638
 116.5	 .652111828327179
 124.5	 .637381434440613
 140.5	 .609451115131378
 156.5	 .582853078842163
 172.5	 .55734795331955
 188.5	 .532770574092865
 204.5	 .509200215339661
 220.5	 .486843198537827
 236.5	 .465091198682785
 252.5	 .44521301984787
 284.5	 .406775534152985
 316.5	 .371250301599503
 348.5	 .33880877494812
 380.5	 .309260815382004
 412.5	 .282237589359283
 444.5	 .257729172706604
 476.5	 .235245361924171
 508.5	 .215231284499168
 572.5	 .179532065987587
 636.5	 .150194600224495
 700.5	 .125737264752388
 764.5	 .105323873460293
 828.5	 8.86525586247444E-02
 892.5	 7.46622681617737E-02
 956.5	 6.31293803453445E-02
 1020.5	 5.36401234567165E-02
 1148.5	 3.67184653878212E-02
 1276.5	 2.56516262888908E-02
 1404.5	 .018452076241374
 1532.5	 1.35085321962833E-02
 1660.5	 9.44667216390371E-03
 1788.5	 5.76262781396508E-03
 1916.5	 2.80752405524254E-03
 2044.5	 3.99981392547488E-04
 2300.5	 0
 2556.5	 0
 2812.5	 0
 3068.5	 4.80686430819333E-05
 3324.5	 0
 3580.5	 6.2980642542243E-04
 3836.5	 2.11348733864725E-03
 4092.5	 7.30139086954296E-04
 4604.5	 2.50775343738496E-03
 5116.5	 4.89482481498271E-04
 5628.5	 1.3098813360557E-04
 6140.5	 2.8840119484812E-03
 6652.5	 0
 7164.5	 2.98446946544573E-04
 7676.5	 1.30908831488341E-03
 8188.5	 1.6041514754761E-04
 9212.5	 0
 10236.5	 0
 11260.5	 0
 12284.5	 0
 13308.5	 0
 14332.5	 0
 15356.5	 0
 16380.5	 1.14940013736486E-03
 18428.5	 2.3785512894392E-03
 20476.5	 0
 22524.5	 3.31886857748032E-03
 24572.5	 2.85369553603232E-03
 26620.5	 0
 28668.5	 1.15598435513675E-03
 30716.5	 0
 32764.5	 0
 36860.5	 0
 40956.5	 1.32997706532478E-03
 45052.5	 0
 49148.5	 7.07182043697685E-04
 53244.5	 0
 57340.5	 1.23017549049109E-03
 61436.5	 0
 65532.5	 0
 73724.5	 1.26176128105726E-05
 81916.5	 0
 90108.5	 1.07189756818116E-03
 98300.5	 0
 106492.5	 0
 114684.5	 0
 122876.5	 1.62966561038047E-03
 131068.5	 1.55412912135944E-04
 147452.5	 2.93430319288746E-04
 163836.5	 0
 180220.5	 5.14998275320977E-04
 196604.5	 5.2112661069259E-04
 212988.5	 1.08606845606118E-03
 229372.5	 0
 245756.5	 8.48594005219638E-04
 262140.5	 1.59021897707134E-03
 294908.5	 0
 327676.5	 1.09885761048645E-03
 360444.5	 0
 393212.5	 0
 425980.5	 0
 458748.5	 6.74490293022245E-04
 491516.5	 0
 524284.5	 9.25166590604931E-04
 589820.5	 3.56215052306652E-04
 655356.5	 0
 720892.5	 0
 786428.5	 0
 851964.5	 7.753970567137E-05
 917500.5	 3.42556450050324E-04
 983036.5	 0
 1048572.5	 0
 1179644.5	 1.15277338773012E-03
 1310716.5	 0
 1441788.5	 5.27565389347728E-05
 1572860.5	 1.72045747603988E-05
 1703932.5	 0
 1835004.5	 0
 1966076.5	 0
 2097148.5	 1.05007132515311E-03
 2359292.5	 2.30545701924711E-04
 2621436.5	 1.30883418023586E-03
 2883580.5	 2.90567317279056E-04
 3145724.5	 9.18148143682629E-04
 3407868.5	 3.80415935069323E-04
 3670012.5	 7.59303628001362E-04
 3932156.5	 1.28990516532212E-03
 4194300.5	 0
 4718588.5	 0
 5242876.5	 0
 5767164.5	 2.6422698283568E-05
 6291452.5	 0
 6815740.5	 0
 7340028.5	 0
 7864316.5	 0
 8388604.5	 0
 9437180	 1.04044110048562E-03
 10485756	 .001346604549326
 11534332	 1.26112136058509E-03
 12582908	 0
 13631484	 0
 14680060	 0
 15728636	 0
 16777212	 0
 18874364	 0
 20971516	 0
 23068668	 0
 25165820	 0
 27262972	 0
 29360124	 0
 31457276	 0
 33554428	 0
 37748732	 0
 41943036	 0
 46137340	 0
 50331644	 0
 54525948	 0
 58720252	 0
 62914556	 0
